"ID","Hash","vendor","device/MCU model"
1,"45f3c722e9434b4cf4dede5ef658f50a",,
2,"459052a209c444ee95b6e340b2fc7d8d",,
3,"a975abe205702bee0fdf235028410a48",,
4,"87eafb9dc6b6f10ade2c6592a4245d57",,
5,"a4f01d57129eb70204dd9268b60505ec","dialog",
6,"4f4fe6a9172e6381793a6fda0cd23797","nordic",
7,"37e6832078d7191c2fab020deb60f391","nordic",
8,"7be905c76fa42d835fef8b5264a95265",,
9,"ea3b9234556d1b888e51ca6a62352512",,
10,"f4497a1af7182cba43c7b0215332e647",,
11,"869fc2f53b43d02fecb5fe3c48939be5",,
12,"9d5080451eb53d7fbbb3d78d7aab226f",,
13,"97f8949134d683fa25779131127a72f3",,
14,"0cdcda9d5e6ea906029581d5533d3d94","realtek",
15,"000e9567dfa363fa2c6cf68be2d59a6d",,
16,"d29939d6b001cdaa67c5ef5b2992d43c",,
17,"c19ec84b4b3ac26ede3d6324fc482496",,
18,"6c0930def64562f994f9403e458db4d3",,
19,"25d04a7388ccc372bce0b3cd1a7ab0e1",,
20,"c10b1de4681c822303ba006bdf5a87c4","nordic",
21,"eb3bf14eb7d844c1d238fc4cc54469cc","nordic",
22,"99451a86ee637e885cdff99df06e8143",,
23,"495c0df719efdca1ea33a2a382c6eccf",,
24,"446323fb91823369468515382d5a093d",,
25,"bd9b2b38b4ea75e7ca0dcf193f744d7b",,
26,"3bcd947ff2843971cf387efd1f895239",,
27,"838be999688844e3aaf6e5acb0d375ad",,
28,"94851deb65936eb312121d60cbb354ad",,
29,"6feb75aa50dded6cfa8e043359d4dec2",,
30,"2a3803df0608700c790c61b92b856f5a","esp",
31,"f163179e5151f3fb12e4f57fccc67e5c",,
32,"5f45646f74fcfaa8cfc9f3f035606650","esp",
33,"c2bc4656136c04c496edb6aee72b32ce",,
34,"eb3b56e8db0f75d164fb6a72811d5de5","esp",
35,"d2ce3fc4e487ca4f4438c6f9048d5129",,
36,"613bbd0a99f5ce9ea91069dcf71a6130","esp",
37,"0f977264a221be460d99f96e61e5afc1","esp",
38,"7d584b0810866d56fc56bafd94e3e35f",,
39,"4dac9a98c12e8b0da92f789f1abdd8ac",,
40,"c57e3e265b2b9c08091a9ee27506925a",,
41,"e570eb6657858f14f530eb9073cd5f38",,
42,"a23474cc7f96bbc2c30b6054ea1273f1",,
43,"1043adfe98599cf582c84a6f1bea6c41",,
44,"6d3faa57c36affb4d0d2d22689f9083d",,
45,"7d32145493e6d9e0553a0fefb64d7678",,
46,"2d8f527f60e9db253fb2f350ec1e91cb",,
47,"7e9fa8e2f20ea1e0579ea484db097d14",,
48,"5acb2408aed10c0b3bc8affdb2665382","esp",
49,"e8ed5057eba8ba1d5e193b298b490227","esp",
50,"581e8dfbd131f05d3e87cffec19f8647","esp",
51,"72ceedda5fb911c26176218043e05af7","esp",
52,"ae1a16ec549646ef8defb658225c4fd5","esp",
53,"ca29c4ddf42a082433845382bcd8d4a4","nordic",
54,"e67d25e28a9a2f5c919c3b27976522fd","nordic",
55,"5c751e01912c548863615a3ac300c4a1","nordic",
56,"18a050ac5a4890a88856ac66199cd68d","nordic",
57,"3b84590cfc767d7a743c287cf92c0e6c",,
58,"9d9d857e2ac99a2be7b23451295eebc0",,
59,"77c2cce983377e123c76cbd87400e344",,
60,"3ffe6a6e46735a6622f63a57216d6b56",,
61,"3a69990b90efd05c20b295923fc54d7c","stm32",
62,"9270028ae606e1d516cc6af56e267960","stm32",
63,"ad666ffab03d30ead1819d7524ad2a03","stm32",
64,"37659e2963f3d8807f8926f3d809ae39","stm32",
65,"71c3f279125d0bb00deedfc5d2ccf789",,
66,"5163bfde99ec2e84a571f8607e8e9431",,
67,"ef13d628cfb0f35f1ce519a2d0ba63b0","nordic",
68,"347cdffcda95060538e8f792b6ad14ec","nordic",
69,"1a8db736a0e15d3724eda398c5047a62","nordic",
70,"c5779800a9ebc1f6e288759ee9578d9c","nordic",
71,"9fc84847d470fc4d927a0793efe20e76",,
72,"b6bf9a31926223f9af732090fe0b2ff0",,
73,"cc41849c2c6b631f6867abc1850ccbd7",,
74,"eb01b897a371ac8a55d94fa871d5dc18",,
75,"3a65ac2d7520594951460231f33f0bc3",,
76,"fed4e644107178e14a7714d21d2b5822",,
77,"5b63424ac4ddf74aed89afcde141e6f5",,
78,"2ece90b915c53fda1542281d065e9d80",,
79,"63d68c4fb81620704cd87a98b0448e3a",,
80,"58fa54d39c69fb8a76f8c85012c034aa",,
81,"3bb1f39de348961e8657d657ca59f890",,
82,"3d3fb30f9b0dc21f2498c1d0614aacf0",,
83,"fae88af3db0e4ced40c956d4ad59c594",,
84,"840285eab0a49a2e92bb9a4901fa444e",,
85,"4d447ef086a9f0506c0d92cb593a0cb8",,
86,"2d7b3bddb1a4df6faa8b5b63eec420e8",,
87,"700072fc8cb7c8aabbcfd205d64aa8ba",,
88,"64c699c68b7e98b3731cbfb1e70e716e",,
89,"a98e61985b680bb641c3ee420dfa107b","ti",
90,"8b5c14a40b9cca7743201724af2edfeb","ti",
91,"e230bb7645507e4b69ddc4751ec0b332",,
92,"d01ecfd62a29d7ea64d1d4f6c1828ca1",,
93,"650adc5d4458bd599b059e8a3e23a232",,
94,"c1846e774e393909421d9a3fd5fe8536",,
95,"8d7bca7836529764a53f46633c932bd5",,
96,"0e0b538f687c44479f80a32235d8a781",,
97,"b7dffc7f925a21d7f953231a1ed62b70",,
98,"7e354154b420845e1d0f7688cdf6e4cd",,
99,"33ee6a786eb0dd6f8ea041b659472a1c",,
100,"d71484f4fb75fefa6d9d93ec592ba435",,
101,"93563dbb25e882545c038548990c3fa0",,
102,"8891925b4a33e012dc792e9eededb4e6",,
103,"020f778be297d75280ea30740b25c58d",,
104,"0ac8bc8d70186c0a5315eb3596bb8f22","nordic",
105,"478e0547f83fbbf46ce12db6548a5a7f","nordic",
106,"137e22fcc0a950149e469e83a0dca7be","nordic",
107,"8c2e79d72294a2f996f93e498d1b0722",,
108,"2df7e1c8ea231bb7aeda430b68bb6ae3",,
109,"4f0224f74eee7c585cdd0832aa1e4da5",,
110,"11eba1ee6d91ddd10e78e9b1fd63d555",,
111,"94792362f4ee47d71169b1bb04ec1762",,
112,"a805e727c06e60e5be3cc4bb100ca282",,
113,"cfe4d7084fb85865c04fb9668c56a9e2",,
114,"a033b25865a7edcfa0145a2e1503b286",,
115,"6437ea185cd31a6120f6fe393be904b7",,
116,"a781a4892da55852720904429bf32aa5",,
117,"3a46a0d1496dff862ef75e94557e0d02","ti",
118,"2b4370e13e050686a209a1e0da7c2bc0","ti",
119,"e0bb582f6e700511b1bc5c47f543c8c2","ti",
120,"aa82983630b480a898529cad60fff9b6",,
121,"ec77927e2498bc8859158a9314e5a5cf",,
122,"21376c75932a9d6faaed034846c57726",,
123,"2e06b6f7ad2b0e55b4f746f30121ef50",,
124,"e8d7f081f75cd55fd0188cafdc352af1",,
125,"fa1000d4401e4dae57991c0df98d47a3",,
