id,original_path,checksum,arch,format,compiler_spec,size
1,/data/hongyuan/akiba_dataset/ext/arm/agtron.st530_legend_wifi/assets/_ecuupdate.hex.extracted/0.hex.bin.fs713554fs.bin,45f3c722e9434b4cf4dede5ef658f50a,ARM:LE:32:v8T,Raw Binary,unknown,134504156
2,/data/hongyuan/akiba_dataset/ext/arm/amwayindia.nutrilitewow/assets/InBandMS-A062.bin.fs129899fs.bin,459052a209c444ee95b6e340b2fc7d8d,ARM:LE:32:v8T,Raw Binary,unknown,129899
3,/data/hongyuan/akiba_dataset/ext/arm/amwayindia.nutrilitewow/assets/InLab2MS-A036.bin.fs71944fs.bin,a975abe205702bee0fdf235028410a48,ARM:LE:32:v8T,Raw Binary,unknown,71944
4,/data/hongyuan/akiba_dataset/ext/arm/at.juggglow.jugglingapp/res/raw/_firmware.hex.extracted/0.hex.bin.fs94785fs.bin,87eafb9dc6b6f10ade2c6592a4245d57,n/a,n/a,n/a,134259596
5,/data/hongyuan/akiba_dataset/ext/arm/ch.aritec.aritag/res/raw/aritag.img.fs27500fs.bin,a4f01d57129eb70204dd9268b60505ec,ARM:LE:32:v8T,Raw Binary,unknown,27500
6,/data/hongyuan/akiba_dataset/ext/arm/cn.geecare.geesuper/assets/_SmartTemp_V_1_01.hex.extracted/0.hex.bin.fs62016fs.bin,4f4fe6a9172e6381793a6fda0cd23797,ARM:LE:32:v8T,Raw Binary,unknown,103952
7,/data/hongyuan/akiba_dataset/ext/arm/cn.geecare.geesuper/assets/_SmartTemp_V_1_01led.hex.extracted/0.hex.bin.fs67482fs.bin,37e6832078d7191c2fab020deb60f391,ARM:LE:32:v8T,Raw Binary,unknown,105892
8,/data/hongyuan/akiba_dataset/ext/arm/co.blustor.gatekeeper/assets/firmware/Firmware_dev_v7-7-13.bin.fs327680fs.bin,7be905c76fa42d835fef8b5264a95265,ARM:LE:32:v8T,Raw Binary,unknown,327680
9,/data/hongyuan/akiba_dataset/ext/arm/co.trendsolar.m2m/res/raw/solarboxfw.bin.fs55664fs.bin,ea3b9234556d1b888e51ca6a62352512,ARM:LE:32:v8T,Raw Binary,unknown,55664
10,/data/hongyuan/akiba_dataset/ext/arm/co.trendsolar.m2m/res/raw/solarboxfw_25.bin.fs58356fs.bin,f4497a1af7182cba43c7b0215332e647,ARM:LE:32:v8T,Raw Binary,unknown,58356
11,/data/hongyuan/akiba_dataset/ext/arm/co.trendsolar.m2m/res/raw/solarboxfw_26.bin.fs61436fs.bin,869fc2f53b43d02fecb5fe3c48939be5,ARM:LE:32:v8T,Raw Binary,unknown,61436
12,/data/hongyuan/akiba_dataset/ext/arm/com.ael.autologgo/res/raw/lower_old.bin.fs31144fs.bin,9d5080451eb53d7fbbb3d78d7aab226f,ARM:LE:32:v8T,Raw Binary,unknown,31144
13,/data/hongyuan/akiba_dataset/ext/arm/com.arcdevices.smartvs.release/assets/smvs_sb.bin.fs19708fs.bin,97f8949134d683fa25779131127a72f3,ARM:LE:32:v8T,Raw Binary,unknown,19708
14,/data/hongyuan/akiba_dataset/ext/arm/com.jaga.ibraceletplus.smartwristband3/res/raw/rh266fp.bin.fs521896fs.bin,0cdcda9d5e6ea906029581d5533d3d94,ARM:LE:32:v8T,Raw Binary,unknown,521896
15,/data/hongyuan/akiba_dataset/ext/arm/com.jjkeller.kmb/assets/fwImages/eobr_gen2_6.88.165.bin.fs246428fs.bin,000e9567dfa363fa2c6cf68be2d59a6d,ARM:LE:32:v8T,Raw Binary,unknown,246428
16,/data/hongyuan/akiba_dataset/ext/arm/com.jjkeller.kmb/res/raw/bte_eobr.tgz.fs157792fs.bin,d29939d6b001cdaa67c5ef5b2992d43c,ARM:LE:32:v8T,Raw Binary,unknown,157792
17,/data/hongyuan/akiba_dataset/ext/arm/com.jtkj.led1248/assets/coolledu.bin.fs57716fs.bin,c19ec84b4b3ac26ede3d6324fc482496,ARM:LE:32:v8T,Raw Binary,unknown,57716
18,/data/hongyuan/akiba_dataset/ext/arm/com.ks2corp.batdisp/assets/firmware/_STM32_BDSP_factory_4.0.2.hex.extracted/0.hex.bin.fs1393255fs.bin,6c0930def64562f994f9403e458db4d3,ARM:LE:32:v8T,Raw Binary,unknown,135265972
19,/data/hongyuan/akiba_dataset/ext/arm/com.ks2corp.batdisp/assets/legacyfirmware/_STM32_BDSP_factory_3.5.0.hex.extracted/0.hex.bin.fs5674269fs.bin,25d04a7388ccc372bce0b3cd1a7ab0e1,ARM:LE:32:v8T,Raw Binary,unknown,136229888
20,/data/hongyuan/akiba_dataset/ext/arm/com.transway.fiiapp/res/raw/_ble_app_ancse_v17.hex.extracted/0.hex.bin.fs161459fs.bin,c10b1de4681c822303ba006bdf5a87c4,ARM:LE:32:v8T,Raw Binary,unknown,139300
21,/data/hongyuan/akiba_dataset/ext/arm/com.vp.fever/res/raw/_ble_app_hts.hex.extracted/0.hex.bin.fs91475fs.bin,eb3bf14eb7d844c1d238fc4cc54469cc,ARM:LE:32:v8T,Raw Binary,unknown,122616
22,/data/hongyuan/akiba_dataset/ext/arm/com.waterair.easycare/res/raw/plug.bin.fs64560fs.bin,99451a86ee637e885cdff99df06e8143,ARM:LE:32:v8T,Raw Binary,unknown,64560
23,/data/hongyuan/akiba_dataset/ext/arm/com.coollang.cq/res/raw/ble.dat.fs10952fs.bin,495c0df719efdca1ea33a2a382c6eccf,ARM:LE:32:v8T,Raw Binary,unknown,10952
24,/data/hongyuan/akiba_dataset/ext/arm/com.coollang.cq/res/raw/d1.dat.fs3476fs.bin,446323fb91823369468515382d5a093d,ARM:LE:32:v8T,Raw Binary,unknown,3476
25,/data/hongyuan/akiba_dataset/ext/arm/com.cubii/res/raw/go_plus_v104.bin.fs116956fs.bin,bd9b2b38b4ea75e7ca0dcf193f744d7b,ARM:LE:32:v8T,Raw Binary,unknown,116956
26,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeapp/assets/AutoMower.bin.fs153268fs.bin,3bcd947ff2843971cf387efd1f895239,ARM:LE:32:v8T,Raw Binary,unknown,153268
27,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeapp/assets/DY00243_20181210.bin.fs113856fs.bin,838be999688844e3aaf6e5acb0d375ad,ARM:LE:32:v8T,Raw Binary,unknown,113856
28,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeapp/assets/DY00256_20190508.bin.fs118632fs.bin,94851deb65936eb312121d60cbb354ad,ARM:LE:32:v8T,Raw Binary,unknown,118632
29,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeapp/assets/DY01243_20181210.bin.fs203520fs.bin,6feb75aa50dded6cfa8e043359d4dec2,ARM:LE:32:v8T,Raw Binary,unknown,203520
30,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeapp/assets/DY01256_20190508.bin.fs226044fs.bin,2a3803df0608700c790c61b92b856f5a,ARM:LE:32:v8T,Raw Binary,unknown,226044
31,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeapp/assets/DY02243_20181210.bin.fs203520fs.bin,f163179e5151f3fb12e4f57fccc67e5c,ARM:LE:32:v8T,Raw Binary,unknown,203520
32,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeapp/assets/DY02256_20190508.bin.fs226044fs.bin,5f45646f74fcfaa8cfc9f3f035606650,ARM:LE:32:v8T,Raw Binary,unknown,226044
33,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeapp/assets/DY11243_20181210.bin.fs203520fs.bin,c2bc4656136c04c496edb6aee72b32ce,ARM:LE:32:v8T,Raw Binary,unknown,203520
34,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeapp/assets/DY11256_20190508.bin.fs226044fs.bin,eb3b56e8db0f75d164fb6a72811d5de5,ARM:LE:32:v8T,Raw Binary,unknown,226044
35,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeapp/assets/DY12243_20181210.bin.fs203520fs.bin,d2ce3fc4e487ca4f4438c6f9048d5129,ARM:LE:32:v8T,Raw Binary,unknown,203520
36,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeapp/assets/DY12256_20190508.bin.fs226044fs.bin,613bbd0a99f5ce9ea91069dcf71a6130,ARM:LE:32:v8T,Raw Binary,unknown,226044
37,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeappNew/assets/DM00401.BIN.fs57736fs.bin,0f977264a221be460d99f96e61e5afc1,ARM:LE:32:v8T,Raw Binary,unknown,57736
38,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeappNew/assets/DY00273.BIN.fs248640fs.bin,7d584b0810866d56fc56bafd94e3e35f,ARM:LE:32:v8T,Raw Binary,unknown,248640
39,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeappNew/assets/DY01273.BIN.fs248640fs.bin,4dac9a98c12e8b0da92f789f1abdd8ac,ARM:LE:32:v8T,Raw Binary,unknown,248640
40,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeappNew/assets/DY02273.BIN.fs248640fs.bin,c57e3e265b2b9c08091a9ee27506925a,ARM:LE:32:v8T,Raw Binary,unknown,248640
41,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeappNew/assets/DY05273.BIN.fs248640fs.bin,e570eb6657858f14f530eb9073cd5f38,ARM:LE:32:v8T,Raw Binary,unknown,248640
42,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeappNew/assets/DY10273.BIN.fs248640fs.bin,a23474cc7f96bbc2c30b6054ea1273f1,ARM:LE:32:v8T,Raw Binary,unknown,248640
43,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeappNew/assets/DY11273.BIN.fs248640fs.bin,1043adfe98599cf582c84a6f1bea6c41,ARM:LE:32:v8T,Raw Binary,unknown,248640
44,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeappNew/assets/DY12273.BIN.fs248640fs.bin,6d3faa57c36affb4d0d2d22689f9083d,ARM:LE:32:v8T,Raw Binary,unknown,248640
45,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeappNew/assets/DY14273.BIN.fs248508fs.bin,7d32145493e6d9e0553a0fefb64d7678,ARM:LE:32:v8T,Raw Binary,unknown,248508
46,/data/hongyuan/akiba_dataset/ext/arm/com.daye.dayeappNew/assets/DY15273.BIN.fs248640fs.bin,2d8f527f60e9db253fb2f350ec1e91cb,ARM:LE:32:v8T,Raw Binary,unknown,248640
47,/data/hongyuan/akiba_dataset/ext/arm/com.daye.thingcom.mower_wifi_ble/assets/DY00271.BIN.fs140684fs.bin,7e9fa8e2f20ea1e0579ea484db097d14,ARM:LE:32:v8T,Raw Binary,unknown,140684
48,/data/hongyuan/akiba_dataset/ext/arm/com.daye.thingcom.mower_wifi_ble/assets/DY01271.BIN.fs253980fs.bin,5acb2408aed10c0b3bc8affdb2665382,ARM:LE:32:v8T,Raw Binary,unknown,253980
49,/data/hongyuan/akiba_dataset/ext/arm/com.daye.thingcom.mower_wifi_ble/assets/DY02271.BIN.fs253980fs.bin,e8ed5057eba8ba1d5e193b298b490227,ARM:LE:32:v8T,Raw Binary,unknown,253980
50,/data/hongyuan/akiba_dataset/ext/arm/com.daye.thingcom.mower_wifi_ble/assets/DY11271.BIN.fs253980fs.bin,581e8dfbd131f05d3e87cffec19f8647,ARM:LE:32:v8T,Raw Binary,unknown,253980
51,/data/hongyuan/akiba_dataset/ext/arm/com.daye.thingcom.mower_wifi_ble/assets/DY12271.BIN.fs253980fs.bin,72ceedda5fb911c26176218043e05af7,ARM:LE:32:v8T,Raw Binary,unknown,253980
52,/data/hongyuan/akiba_dataset/ext/arm/com.daye.thingcom.mower_wifi_ble/assets/DY14271.BIN.fs253980fs.bin,ae1a16ec549646ef8defb658225c4fd5,ARM:LE:32:v8T,Raw Binary,unknown,253980
53,/data/hongyuan/akiba_dataset/ext/arm/com.digicare.digicaremobile/res/raw/erisw.bin.fs73812fs.bin,ca29c4ddf42a082433845382bcd8d4a4,ARM:LE:32:v8T,Raw Binary,unknown,73812
54,/data/hongyuan/akiba_dataset/ext/arm/com.digicare.digicaremobile/res/raw/eriswcamera.bin.fs73812fs.bin,e67d25e28a9a2f5c919c3b27976522fd,ARM:LE:32:v8T,Raw Binary,unknown,73812
55,/data/hongyuan/akiba_dataset/ext/arm/com.dkn.cardioconnect/assets/_default-MG353N-ap-3.03.hex.extracted/0.hex.bin.fs315715fs.bin,5c751e01912c548863615a3ac300c4a1,ARM:LE:32:v8T,Raw Binary,unknown,231008
56,/data/hongyuan/akiba_dataset/ext/arm/com.dkn.cardioconnect/assets/_default-pd199n-ap-2.4.11.hex.extracted/0.hex.bin.fs183374fs.bin,18a050ac5a4890a88856ac66199cd68d,ARM:LE:32:v8T,Raw Binary,unknown,155284
57,/data/hongyuan/akiba_dataset/ext/arm/com.doouya.babyhero/assets/_dy_ther2.hex.extracted/0.hex.bin.fs147457fs.bin,3b84590cfc767d7a743c287cf92c0e6c,ARM:LE:32:v8T,Raw Binary,unknown,268439576
58,/data/hongyuan/akiba_dataset/ext/arm/com.dopplerlabs.hereactivelistening/assets/fw/here_app_pv_7.bin.fs129570fs.bin,9d9d857e2ac99a2be7b23451295eebc0,ARM:LE:32:v8T,Raw Binary,unknown,129570
59,/data/hongyuan/akiba_dataset/ext/arm/com.ecodomesticheating.deltacalor.app/assets/_stone1.35.zip.extracted/_application.hex.extracted/0.hex.bin,77c2cce983377e123c76cbd87400e344,ARM:LE:32:v8T,Raw Binary,unknown,164664
60,/data/hongyuan/akiba_dataset/ext/arm/com.ecodomesticheating.deltacalor.app/assets/_stone1.49.zip.extracted/_application.hex.extracted/0.hex.bin,3ffe6a6e46735a6622f63a57216d6b56,ARM:LE:32:v8T,Raw Binary,unknown,157596
