id,gdma_basic_blocks,gdma_coverage,gdma_crashes,gdma_crash_total,multifuzz_basic_blocks,multifuzz_coverage,multifuzz_crashes,multifuzz_crash_total,hoedur_basic_blocks,hoedur_coverage,hoedur_crashes,hoedur_crash_total
2,199,0.0339,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,578,0.0915,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,184,0.0941,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 7, ""Other"": 2}",0
3,440,0.0901,"{""UR"": 183, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",183,429,0.0807,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,199,0.0812,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 5}",77
11,668,0.1243,"{""UR"": 419, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",419,,,,,,,,
13,259,0.2897,"{""UR"": 1231, ""UW"": 121, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",1352,257,0.2233,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 6, ""Other"": 0}",7,927,0.5831,"{""UR+UW+RV+UF+EV"": 6, ""WV"": 0, ""Hang"": 37, ""Other"": 0}",426
26,1149,0.1310,"{""UR"": 535, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",535,,,,,,,,
27,2255,0.2844,"{""UR"": 3604, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",3604,3010,0.2751,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,2370,0.3288,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 3, ""Other"": 0}",537
28,1192,0.1479,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,3184,0.2832,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,1972,0.3325,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 1, ""Other"": 0}",384
29,50,0.0056,"{""UR"": 66, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",66,,,,,,,,
31,238,0.0268,"{""UR"": 65, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",65,,,,,,,,
33,238,0.0268,"{""UR"": 70, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",70,,,,,,,,
35,50,0.0056,"{""UR"": 66, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",66,,,,,,,,
37,1156,0.2129,"{""UR"": 659, ""UW"": 21, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",680,1201,0.1811,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,595,0.2041,"{""UR+UW+RV+UF+EV"": 2, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",244
38,909,0.0784,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,890,0.0713,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,390,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",176
39,909,0.0784,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,903,0.0723,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,367,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",159
40,909,0.0784,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,906,0.0725,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,399,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",180
41,909,0.0784,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,903,0.0723,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,366,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",151
42,910,0.0785,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,895,0.0717,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,375,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",162
43,910,0.0785,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,903,0.0723,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,376,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 1, ""Other"": 0}",170
