id,crash_input,input_file,max_score,verdict,firmrca_result
13,"id:000110,sig:11,src:000045+000044,op:splice,rep:32","main003/fuzzers/fuzzer1/crashes/id:000110,sig:11,src:000045+000044,op:splice,rep:32",100,success,"{""candidates"": [{""addr"": ""0x80003b8"", ""score"": 100}, {""addr"": ""0x8000bdc"", ""score"": 99}, {""addr"": ""0x80004cc"", ""score"": 99}, {""addr"": ""0x8003abc"", ""score"": 99}, {""addr"": ""0x8003fea"", ""score"": 98}, {""addr"": ""0x80003c4"", ""score"": 98}, {""addr"": ""0x80003ca"", ""score"": 98}, {""addr"": ""0x8003fea"", ""score"": 98}, {""addr"": ""0x80003c4"", ""score"": 98}, {""addr"": ""0x80003ca"", ""score"": 98}]}"
13,"id:000899,sig:11,src:000360+001286,op:splice,rep:128","main003/fuzzers/fuzzer1/crashes/id:000899,sig:11,src:000360+001286,op:splice,rep:128",100,success,"{""candidates"": [{""addr"": ""0x800260c"", ""score"": 100}, {""addr"": ""0x8003816"", ""score"": 99}, {""addr"": ""0x8003814"", ""score"": 99}, {""addr"": ""0x800378e"", ""score"": 99}]}"
13,"id:000338,sig:11,src:000232+000458,op:splice,rep:64","main003/fuzzers/fuzzer1/crashes/id:000338,sig:11,src:000232+000458,op:splice,rep:64",100,success,"{""candidates"": [{""addr"": ""0x80037f6"", ""score"": 100}, {""addr"": ""0x80037f8"", ""score"": 99}]}"
13,"id:000725,sig:11,src:000274+001458,op:splice,rep:128","main003/fuzzers/fuzzer1/crashes/id:000725,sig:11,src:000274+001458,op:splice,rep:128",100,success,"{""candidates"": [{""addr"": ""0x8003778"", ""score"": 100}, {""addr"": ""0x80015fe"", ""score"": 99}, {""addr"": ""0x80015f6"", ""score"": 99}]}"
128,"id:000017,sig:11,src:000000,op:havoc,rep:32","main003/fuzzers/fuzzer1/crashes/id:000017,sig:11,src:000000,op:havoc,rep:32",,failed,"{""candidates"": []}"
139,"id:000018,sig:11,src:000000,op:havoc,rep:32","main006/fuzzers/fuzzer1/crashes/id:000018,sig:11,src:000000,op:havoc,rep:32",100,success,"{""candidates"": [{""addr"": ""0x60e0"", ""score"": 100}, {""addr"": ""0x60e4"", ""score"": 99}]}"
200,"id:000121,sig:11,src:000229+000605,op:splice,rep:16","main001/fuzzers/fuzzer1/crashes/id:000121,sig:11,src:000229+000605,op:splice,rep:16",100,success,"{""candidates"": [{""addr"": ""0x80040fc"", ""score"": 100}, {""addr"": ""0x8007d2a"", ""score"": 99}, {""addr"": ""0x8007d26"", ""score"": 99}, {""addr"": ""0x8007d22"", ""score"": 99}, {""addr"": ""0x800414e"", ""score"": 99}, {""addr"": ""0x800414c"", ""score"": 99}, {""addr"": ""0x8004116"", ""score"": 99}, {""addr"": ""0x8004116"", ""score"": 99}, {""addr"": ""0x8004102"", ""score"": 99}, {""addr"": ""0x80040fe"", ""score"": 99}]}"
200,"id:000082,sig:11,src:000188+000608,op:splice,rep:32","main001/fuzzers/fuzzer1/crashes/id:000082,sig:11,src:000188+000608,op:splice,rep:32",100,success,"{""candidates"": [{""addr"": ""0x8008060"", ""score"": 100}, {""addr"": ""0x8005b1a"", ""score"": 99}, {""addr"": ""0x8005b18"", ""score"": 99}, {""addr"": ""0x8005b16"", ""score"": 99}]}"
380,"id:000201,sig:11,src:000107+000154,op:splice,rep:32","main003/fuzzers/fuzzer1/crashes/id:000201,sig:11,src:000107+000154,op:splice,rep:32",100,success,"{""candidates"": [{""addr"": ""0x80003b8"", ""score"": 100}, {""addr"": ""0x8000c48"", ""score"": 99}, {""addr"": ""0x80004cc"", ""score"": 99}, {""addr"": ""0x800404a"", ""score"": 98}, {""addr"": ""0x80003c4"", ""score"": 98}, {""addr"": ""0x80003ca"", ""score"": 98}, {""addr"": ""0x800404a"", ""score"": 98}, {""addr"": ""0x80003c4"", ""score"": 98}, {""addr"": ""0x80003ca"", ""score"": 98}]}"
380,"id:000120,sig:11,src:000129+000189,op:splice,rep:4","main003/fuzzers/fuzzer1/crashes/id:000120,sig:11,src:000129+000189,op:splice,rep:4",100,success,"{""candidates"": [{""addr"": ""0x80003b8"", ""score"": 100}, {""addr"": ""0x8001626"", ""score"": 99}, {""addr"": ""0x80037ac"", ""score"": 99}, {""addr"": ""0x80017ae"", ""score"": 99}, {""addr"": ""0x800404a"", ""score"": 98}, {""addr"": ""0x80003c4"", ""score"": 98}, {""addr"": ""0x80003ca"", ""score"": 98}, {""addr"": ""0x800404a"", ""score"": 98}, {""addr"": ""0x80003c4"", ""score"": 98}, {""addr"": ""0x80003ca"", ""score"": 98}]}"
380,"id:000150,sig:11,src:000264,op:havoc,rep:4","main003/fuzzers/fuzzer1/crashes/id:000150,sig:11,src:000264,op:havoc,rep:4",100,success,"{""candidates"": [{""addr"": ""0x80003b8"", ""score"": 100}, {""addr"": ""0x8001662"", ""score"": 99}, {""addr"": ""0x800165a"", ""score"": 99}, {""addr"": ""0x80037ac"", ""score"": 99}, {""addr"": ""0x80017ae"", ""score"": 99}, {""addr"": ""0x800404a"", ""score"": 98}, {""addr"": ""0x80003c4"", ""score"": 98}, {""addr"": ""0x80003ca"", ""score"": 98}, {""addr"": ""0x800404a"", ""score"": 98}, {""addr"": ""0x80003c4"", ""score"": 98}, {""addr"": ""0x80003ca"", ""score"": 98}]}"
667,"id:000016,sig:11,src:001670+001827,op:splice,rep:32","main004/fuzzers/fuzzer1/crashes/id:000016,sig:11,src:001670+001827,op:splice,rep:32",99,success,"{""candidates"": [{""addr"": ""0x2dde"", ""score"": 99}, {""addr"": ""0x2dde"", ""score"": 99}, {""addr"": ""0x2de4"", ""score"": 98}, {""addr"": ""0x2de2"", ""score"": 98}, {""addr"": ""0x2dda"", ""score"": 98}, {""addr"": ""0x2dd8"", ""score"": 98}, {""addr"": ""0x2de4"", ""score"": 98}, {""addr"": ""0x2de2"", ""score"": 98}, {""addr"": ""0x2dda"", ""score"": 98}, {""addr"": ""0x2dd8"", ""score"": 98}, {""addr"": ""0x2de0"", ""score"": 96}, {""addr"": ""0x2de0"", ""score"": 96}, {""addr"": ""0x2de0"", ""score"": 96}, {""addr"": ""0x2de0"", ""score"": 96}]}"
668,"id:000155,sig:11,src:000001+001024,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000155,sig:11,src:000001+001024,op:splice,rep:128",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000144,sig:04,src:000001+000387,op:splice,rep:32","main004/fuzzers/fuzzer1/crashes/id:000144,sig:04,src:000001+000387,op:splice,rep:32",100,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 100}, {""addr"": ""0x3e5c"", ""score"": 99}, {""addr"": ""0x3e5a"", ""score"": 99}, {""addr"": ""0x3e52"", ""score"": 99}, {""addr"": ""0x3e50"", ""score"": 99}, {""addr"": ""0x3e58"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 98}]}"
